generation,mean_p,sd_p,hawk_freq,n,k,early_stop,ess
786,0.68297,0.19574,0.68297,100,24,false,0.66667
787,0.68356,0.19767,0.68356,100,35,false,0.66667
788,0.65384,0.19903,0.65384,100,35,false,0.66667
789,0.67245,0.19885,0.67245,100,40,true,0.66667
790,0.66513,0.19964,0.66513,100,33,false,0.66667
791,0.6596,0.20023,0.6596,100,37,false,0.66667
792,0.64626,0.20053,0.64626,100,27,false,0.66667
793,0.64421,0.20013,0.64421,100,40,true,0.66667
794,0.64758,0.19936,0.64758,100,40,true,0.66667
795,0.64749,0.19964,0.64749,100,35,false,0.66667
796,0.63814,0.20207,0.63814,100,40,true,0.66667
797,0.64348,0.20184,0.64348,100,38,false,0.66667
798,0.65772,0.20052,0.65772,100,37,false,0.66667
799,0.65442,0.19986,0.65442,100,32,false,0.66667
800,0.65518,0.20238,0.65518,100,40,true,0.66667
801,0.66285,0.19819,0.66285,100,39,false,0.66667
802,0.64972,0.20433,0.64972,100,40,true,0.66667
803,0.68904,0.19145,0.68904,100,40,true,0.66667
804,0.6895,0.18875,0.6895,100,35,false,0.66667
805,0.6745,0.19565,0.6745,100,33,false,0.66667
806,0.69634,0.18871,0.69634,100,34,false,0.66667
807,0.70815,0.18244,0.70815,100,29,false,0.66667
808,0.69894,0.18482,0.69894,100,25,false,0.66667
809,0.69337,0.18486,0.69337,100,31,false,0.66667
810,0.68893,0.1864,0.68893,100,21,false,0.66667
811,0.68021,0.18801,0.68021,100,24,false,0.66667
812,0.70289,0.17952,0.70289,100,19,false,0.66667
813,0.71363,0.1759,0.71363,100,31,false,0.66667
814,0.70561,0.18126,0.70561,100,22,false,0.66667
815,0.69207,0.18436,0.69207,100,24,false,0.66667
816,0.68434,0.18517,0.68434,101,25,false,0.66667
817,0.70311,0.17721,0.70311,101,37,false,0.66667
818,0.68223,0.18485,0.68223,100,26,false,0.66667
819,0.6926,0.18114,0.6926,100,19,false,0.66667
820,0.6979,0.18069,0.6979,100,34,false,0.66667
821,0.68484,0.18535,0.68484,100,34,false,0.66667
822,0.69241,0.18058,0.69241,100,24,false,0.66667
823,0.67978,0.18379,0.67978,100,19,false,0.66667
824,0.65979,0.19197,0.65979,100,33,false,0.66667
825,0.65286,0.19097,0.65286,101,37,false,0.66667
826,0.65849,0.18501,0.65849,100,35,false,0.66667
827,0.67335,0.17908,0.67335,100,38,false,0.66667
828,0.64001,0.18998,0.64001,100,36,false,0.66667
829,0.64839,0.18553,0.64839,100,33,false,0.66667
830,0.65813,0.18082,0.65813,100,38,false,0.66667
831,0.65297,0.17864,0.65297,100,40,true,0.66667
832,0.65531,0.17867,0.65531,100,40,true,0.66667
